State,Digital Access,Uplink Tone,County,Input Freq,Output Freq,Modes,Location,Downlink Tone,Call,Offset
Missouri,,127.3,Morgan,147.99000,147.390000,FM ,Stover,,KB0QWQ,+
Missouri,,,St Louis City,147.99000,147.390000,FM ,Saint Louis - Mercy Hospital,,W0SLW,+
Missouri,,146.2,Caldwell,147.99000,147.390000,FM Fusion WIRES-X ,Hamilton - Old Town Water Tower,146.2,KB0ALL,+
Missouri,,110.9,Ozark,147.99000,147.390000,FM Fusion ,Gainesville,110.9,WB0JJJ,+
Missouri,,123.0,Barry,147.97500,147.375000,FM ,Washburn,,KE0CZQ,+
Missouri,,100.0,Wayne,147.97500,147.375000,FM ,Piedmont,100.0,K0WCR,+
Missouri,,156.7,Clay,147.97500,147.375000,FM ,Lawson,156.7,K0ESM,+
Missouri,,141.3,St Louis City,147.96000,147.360000,FM ,Saint Louis - Mercy,141.3,W0MDG,+
Missouri,,,Cooper,147.96000,147.360000,FM ,Boonville,,W0BRC,+
Missouri,,162.2,Stone,147.94500,147.345000,FM ,Kimberling City,162.2,K0EI,+
Missouri,,110.9,Crawford,147.94500,147.345000,FM ,Cuba,110.9,KD0JOX,+
Missouri,,110.9,Linn,147.94500,147.345000,FM ,Brookfield,,W0CIT,+
Missouri,,123.0,Warren,147.93000,147.330000,FM ,Warrenton - MSHP Tower,,WA0EMA,+
Missouri,,162.2,Greene,147.93000,147.330000,FM ,Walnut Grove,,AK0C,+
Missouri,,151.4,Platte,147.93000,147.330000,FM Fusion ,Kansas City - NWS Central Region HQ,151.4,WA0QFJ,+
Missouri,,100.0,Stoddard,147.93000,147.330000,FM ,Bloomfield - MSHP Tower,,KM0HP,+
Missouri,,127.3,Callaway,147.91500,147.315000,FM ,Millersburg,,KC0MV,+
Missouri,,,Jackson,147.91500,147.315000,Fusion WIRES-X ,Lee's Summit,,K0HAM,+
Missouri,,,Benton,147.90000,147.300000,FM ,Warsaw,107.2,KD0CNC,+
Missouri,,100.0,Iron,147.90000,147.300000,FM ,Viburnum,,KD0KIB,+
Missouri,,110.9,Iron,147.90000,147.300000,FM ,Viburnum,110.9,N0WNC,+
Missouri,,,Barry,147.90000,147.300000,FM ,Monett,,K0SQS,+
Missouri,,141.3,St Louis,147.88500,147.285000,FM ,University City - Washington Univ,,W0QEV,+
Missouri,,136.5,Greene,147.88500,147.285000,FM ,Springfield - Cox North Hospital,136.5,N0NWS,+
Missouri,,123.0,Miller,147.87000,147.270000,FM ,Eldon,123.0,N0QVO,+
Missouri,,156.7,Dent,147.87000,147.270000,FM ,Bunker,CSQ,KD0IM,+
Missouri,,127.3,Audrain,147.85500,147.255000,FM AllStar ,Mexico - KWWR Backup Tower,127.3,AA0RC,+
Missouri,,D165,Camden,147.85500,147.255000,FM AllStar EchoLink ,Macks Creek,D165,KA0KDW,+
Missouri,,162.2,McDonald,147.85500,147.255000,FM ,Jane - Walmart,162.2,N5BVA,+
Missouri,,141.3,Franklin,147.84000,147.240000,FM ,Washington - Krakow Water Tower,141.3,WA0FYA,+
Missouri,,162.2,Greene,147.82500,147.225000,FM ,Springfield - Rayfield Comm Tower,162.2,W0PM,+
