route_progress,callsign,distance_to_route,output_freq,input_freq,uplink_tone,downlink_tone,modes,location
0.0,KC0KW,4.82,145.110000,144.51000,,,Fusion WIRES-X ,Kansas City
0.0,WA0QFJ,13.08,147.330000,147.93000,151.4,151.4,FM Fusion ,Kansas City - NWS Central Region HQ
0.0,W0TE,13.78,146.790000,146.19000,107.2,,FM ,Kansas City
0.0,KC0KW,17.95,146.925000,146.32500,,,Fusion WIRES-X ,Smithville - Fire Dept
0.03,K0UAA,0.01,146.820000,146.22000,151.4,151.4,FM Fusion ,Kansas City - City Hall
0.03,W0WJB,0.01,146.970000,146.37000,151.4,151.4,FM ,Kansas City - Plaza
0.28,W0MB,7.05,145.430000,144.83000,,,FM ,Gladstone - Water Tank
0.59,K0HAM,2.1,146.940000,146.34000,,,Fusion WIRES-X ,Kansas City - Signal Hill
7.13,KC0KW,0.26,145.490000,144.89000,,,Fusion WIRES-X ,Kansas City - Royals Stadium
7.92,K0GQ,2.64,145.170000,144.57000,151.4,151.4,FM EchoLink ,Raytown - Water Tower
8.95,K0HAM,9.6,147.315000,147.91500,,,Fusion WIRES-X ,Lee's Summit
9.53,N0HV,17.07,147.120000,147.72000,151.4,151.4,FM AllStar EchoLink ,Raymore
10.0,W0SHQ,3.22,146.730000,146.13000,151.4,151.4,FM EchoLink Fusion ,Independence - Fire Sta 1
10.1,K0EJC,3.78,145.310000,144.71000,151.4,,FM EchoLink ,Independence - Fire Sta 1
10.15,W0TOJ,3.03,147.090000,147.69000,,,FM EchoLink ,Independence - B of A Independence Square
10.61,KF5E,19.97,146.865000,146.26500,,,Fusion WIRES-X ,Peculiar
14.05,K0EJC,0.65,145.370000,144.77000,151.4,,FM EchoLink ,Independence - Centerpoint Med Ctr
14.09,,9.13,145.410000,144.81000,,,Fusion ,Lee's Summit
16.16,KC0SKY,10.09,146.700000,146.10000,107.2,107.2,FM ,Lee's Summit - James A Reed Wildlife Center
18.28,KB0VBN,1.5,147.015000,147.61500,151.4,151.4,FM ,Blue Springs
21.02,WB0YRG,16.38,146.450000,147.45000,,,DMR Fusion ,Pleasant Hill
22.63,K0BSJ,15.38,146.625000,146.02500,151.4,151.4,FM ,Pleasant Hill
56.27,KE0PKD,0.55,147.105000,147.70500,156.7,156.7,FM ,Concordia
74.51,KF0ULO,8.44,146.685000,146.08500,127.3,127.3,FM DMR EchoLink ,Marshall - Fitzgibbon Hospital
74.56,WB0WMM,10.57,147.165000,147.76500,127.3,CSQ,FM ,Marshall
76.45,WA0SDO,16.41,147.030000,146.43000,179.9,179.9,FM ,Sedalia
101.58,W0BRC,2.32,147.360000,147.96000,,,FM ,Boonville
125.03,K0SI,1.41,146.760000,146.16000,127.3,127.3,FM DMR DSTAR NXDN P-25 Fusion ,Columbia
125.19,WX0BC,0.28,146.610000,146.01000,127.3,,FM ,Columbia
139.43,KC0MV,3.33,147.315000,147.91500,127.3,,FM ,Millersburg
144.12,AA0RC,17.62,147.255000,147.85500,127.3,127.3,FM AllStar ,Mexico - KWWR Backup Tower
178.52,KB0WCY,15.17,147.135000,147.73500,,,FM ,Hermann
187.35,WA0EMA,0.48,147.330000,147.93000,123.0,,FM ,Warrenton - MSHP Tower
187.92,KA0CWU,3.86,147.045000,147.64500,141.3,141.3,FM ,Warrenton
212.51,K0RBR,5.32,145.410000,144.81000,100.0,100.0,FM ,O'Fallon - Water Tank
212.54,WB0HSI,3.94,146.670000,146.07000,141.3,141.3,FM Fusion ,O'Fallon - Water Tank
214.43,W0ECA,3.74,145.490000,144.89000,141.3,141.3,FM ,O'Fallon
216.67,N0KQG,8.89,146.490000,147.49000,,,DMR ,Defiance
219.15,KJ0A,4.89,145.370000,144.77000,,,Fusion WIRES-X ,Saint Charles
221.92,KD0ZEA,18.83,146.450000,147.45000,141.3,141.3,FM DSTAR ,Pacific - Signal Hill
225.98,KO0A,8.7,145.330000,144.73000,141.3,,FM ,Saint Charles - Lindenwood College
233.57,W0SRC,2.33,146.910000,146.31000,141.3,,FM ,Des Peres - West County Mall
233.74,W0SLW,0.42,147.390000,147.99000,,,FM ,Saint Louis - Mercy Hospital
233.74,W0MDG,0.49,147.360000,147.96000,141.3,141.3,FM ,Saint Louis - Mercy
233.97,W0KE,7.76,146.730000,146.13000,141.3,,FM ,Bridgeton - SSM de Paul Hospital
236.43,K0MDG,3.09,147.015000,147.61500,,,DSTAR ,Saint Louis - Red Cross
236.52,W0SRC,2.54,146.850000,146.25000,141.3,141.3,FM AllStar EchoLink ,Olivette - Lindbergh/Olive
236.58,W0MA,8.82,147.060000,147.66000,141.3,,FM ,Saint Louis - I-270/McDonnell Blvd
236.7,K0KYZ,1.16,145.170000,144.57000,127.3,,FM ,Saint Louis
237.1,K0ATT,3.8,147.150000,147.75000,141.3,141.3,FM Fusion ,Kirkwood
237.15,N0FLC,13.24,147.225000,147.82500,CSQ,,FM ,Saint Louis
237.18,K0AMC,12.96,146.925000,146.32500,192.8,192.8,FM AllStar EchoLink ,Arnold
238.27,KB0TLL,17.97,147.105000,147.70500,,,Fusion WIRES-X ,Imperial
238.29,N0ARS,0.64,145.350000,144.75000,141.3,,FM ,Saint Louis - Tilles Park
239.48,W0SRC,1.22,146.940000,146.34000,,,Fusion ,Clayton
240.83,W9AIU,3.27,146.760000,146.16000,141.3,141.3,FM ,Shrewsbury
242.94,KA9HNT,0.03,145.270000,144.67000,123.0,,FM Fusion ,Saint Louis - Busch Stadium
244.61,WB0QXW,2.73,145.210000,144.61000,123.0,,FM EchoLink ,Saint Louis
246.44,KC0TPS,4.59,146.610000,146.01000,100.0,,FM ,Saint Louis - Bates/Virginia
