Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
147.390000,147.99000,+,127.3,,KB0QWQ,"Stover",Morgan,Missouri,FM ,
147.390000,147.99000,+,,,W0SLW,"Saint Louis - Mercy Hospital",St Louis City,Missouri,FM ,
147.390000,147.99000,+,146.2,146.2,KB0ALL,"Hamilton - Old Town Water Tower",Caldwell,Missouri,FM Fusion WIRES-X ,
147.390000,147.99000,+,110.9,110.9,WB0JJJ,"Gainesville",Ozark,Missouri,FM Fusion ,
147.375000,147.97500,+,123.0,,KE0CZQ,"Washburn",Barry,Missouri,FM ,
147.375000,147.97500,+,100.0,100.0,K0WCR,"Piedmont",Wayne,Missouri,FM ,
147.375000,147.97500,+,156.7,156.7,K0ESM,"Lawson",Clay,Missouri,FM ,
147.360000,147.96000,+,141.3,141.3,W0MDG,"Saint Louis - Mercy",St Louis City,Missouri,FM ,
147.360000,147.96000,+,,,W0BRC,"Boonville",Cooper,Missouri,FM ,
147.345000,147.94500,+,162.2,162.2,K0EI,"Kimberling City",Stone,Missouri,FM ,
147.345000,147.94500,+,110.9,110.9,KD0JOX,"Cuba",Crawford,Missouri,FM ,
147.345000,147.94500,+,110.9,,W0CIT,"Brookfield",Linn,Missouri,FM ,
147.330000,147.93000,+,123.0,,WA0EMA,"Warrenton - MSHP Tower",Warren,Missouri,FM ,
147.330000,147.93000,+,162.2,,AK0C,"Walnut Grove",Greene,Missouri,FM ,
147.330000,147.93000,+,151.4,151.4,WA0QFJ,"Kansas City - NWS Central Region HQ",Platte,Missouri,FM Fusion ,
147.330000,147.93000,+,100.0,,KM0HP,"Bloomfield - MSHP Tower",Stoddard,Missouri,FM ,
147.315000,147.91500,+,127.3,,KC0MV,"Millersburg",Callaway,Missouri,FM ,
147.315000,147.91500,+,,,K0HAM,"Lee's Summit",Jackson,Missouri,Fusion WIRES-X ,
147.300000,147.90000,+,,107.2,KD0CNC,"Warsaw",Benton,Missouri,FM ,
147.300000,147.90000,+,100.0,,KD0KIB,"Viburnum",Iron,Missouri,FM ,
147.300000,147.90000,+,110.9,110.9,N0WNC,"Viburnum",Iron,Missouri,FM ,
147.300000,147.90000,+,,,K0SQS,"Monett",Barry,Missouri,FM ,
147.285000,147.88500,+,141.3,,W0QEV,"University City - Washington Univ",St Louis,Missouri,FM ,
147.285000,147.88500,+,136.5,136.5,N0NWS,"Springfield - Cox North Hospital",Greene,Missouri,FM ,
147.270000,147.87000,+,123.0,123.0,N0QVO,"Eldon",Miller,Missouri,FM ,
147.270000,147.87000,+,156.7,CSQ,KD0IM,"Bunker",Dent,Missouri,FM ,
147.255000,147.85500,+,127.3,127.3,AA0RC,"Mexico - KWWR Backup Tower",Audrain,Missouri,FM AllStar ,
147.255000,147.85500,+,D165,D165,KA0KDW,"Macks Creek",Camden,Missouri,FM AllStar EchoLink ,
147.255000,147.85500,+,162.2,162.2,N5BVA,"Jane - Walmart",McDonald,Missouri,FM ,
147.240000,147.84000,+,141.3,141.3,WA0FYA,"Washington - Krakow Water Tower",Franklin,Missouri,FM ,
147.225000,147.82500,+,162.2,162.2,W0PM,"Springfield - Rayfield Comm Tower",Greene,Missouri,FM ,
147.225000,147.82500,+,CSQ,,N0FLC,"Saint Louis",St Louis City,Missouri,FM ,
147.225000,147.82500,+,94.8,94.8,K0MPT,"Chillicothe",Livingston,Missouri,FM ,
147.225000,147.82500,+,91.5,91.5,KD0PVP,"Butler",Bates,Missouri,FM ,
147.210000,147.81000,+,100.0,100.0,KE0MQF,"Sikeston",Scott,Missouri,FM DMR EchoLink P-25 Fusion ,1293
147.210000,147.81000,+,91.5,91.5,W0IN,"Joplin",Jasper,Missouri,FM ,
147.195000,147.79500,+,141.3,,N0WNC,"Potosi",Washington,Missouri,FM ,
147.195000,147.79500,+,162.2,162.2,W0TRI,"Branson",Taney,Missouri,FM AllStar EchoLink ,
147.180000,147.78000,+,79.7,79.7,WA0FYA,"Union - Indian Prairie School",Franklin,Missouri,FM Fusion ,
147.180000,147.78000,+,136.5,136.5,N0NWS,"Buffalo",Dallas,Missouri,FM ,
147.165000,147.76500,+,162.2,,K0DCA,"Norwood",Wright,Missouri,FM Fusion ,
147.165000,147.76500,+,127.3,CSQ,WB0WMM,"Marshall",Saline,Missouri,FM ,
147.150000,147.75000,+,141.3,141.3,K0ATT,"Kirkwood",St Louis,Missouri,FM Fusion ,
147.150000,147.75000,+,162.2,162.2,W0TRI,"Forsyth - Water Tower",Taney,Missouri,FM ,
147.150000,147.75000,+,100.0,,N0DAN,"Dexter",Stoddard,Missouri,FM ,
147.135000,147.73500,+,91.5,,W0HL,"Nevada",Vernon,Missouri,FM ,
147.135000,147.73500,+,,,KB0WCY,"Hermann",Gasconade,Missouri,FM ,
147.120000,147.72000,+,107.2,107.2,W0AV,"Springfield - CU TRS Glidewell site",Greene,Missouri,FM AllStar ,
147.120000,147.72000,+,151.4,151.4,N0HV,"Raymore",Cass,Missouri,FM AllStar EchoLink ,
147.105000,147.70500,+,,,KB0TLL,"Imperial",Jefferson,Missouri,Fusion WIRES-X ,
147.105000,147.70500,+,156.7,156.7,KE0PKD,"Concordia",Lafayette,Missouri,FM ,
147.105000,147.70500,+,136.5,136.5,KJ6TQ,"Branson",Taney,Missouri,FM ,
147.090000,147.69000,+,162.2,162.2,KC0ROS,"Odin",Wright,Missouri,FM ,
147.090000,147.69000,+,127.3,127.3,K0MOB,"Moberly",Randolph,Missouri,FM ,
147.090000,147.69000,+,,,W0TOJ,"Independence - B of A Independence Square",Jackson,Missouri,FM EchoLink ,
147.075000,147.67500,+,127.3,127.3,K0NXA,"Warsaw - MSHP Tower",Benton,Missouri,FM AllStar EchoLink P-25 ,4F9
147.075000,147.67500,+,100.0,100.0,KB0ZAW,"Sikeston",Scott,Missouri,FM ,
147.075000,147.67500,+,162.2,,WB6ARF,"Pineville",McDonald,Missouri,FM ,
147.075000,147.67500,+,141.3,141.3,KB0TLL,"Hillsboro",Jefferson,Missouri,FM ,
147.060000,147.66000,+,141.3,,W0MA,"Saint Louis - I-270/McDonnell Blvd",St Louis,Missouri,FM ,
147.060000,147.66000,+,94.8,94.8,W0BYU,"Grant City",Worth,Missouri,FM Fusion ,
147.060000,147.66000,+,162.2,162.2,K0NXA,"Bolivar",Polk,Missouri,FM ,
147.045000,147.64500,+,141.3,141.3,KA0CWU,"Warrenton",Warren,Missouri,FM ,
147.045000,147.64500,+,118.8,118.8,AF0SS,"Mount Vernon",Lawrence,Missouri,FM EchoLink Fusion WIRES-X ,
147.045000,147.64500,+,,,N0TIX,"Kearney",Clay,Missouri,FM ,
147.030000,146.43000,-,179.9,179.9,WA0SDO,"Sedalia",Pettis,Missouri,FM ,
147.030000,147.63000,+,100.0,100.0,K0EOR,"Farmington",St Francois,Missouri,FM EchoLink ,
147.015000,147.61500,+,162.2,162.2,K0NXA,"Springfield - CU TRS Co East Site",Greene,Missouri,FM AllStar EchoLink ,
147.015000,147.61500,+,,,K0MDG,"Saint Louis - Red Cross",St Louis,Missouri,DSTAR ,
147.015000,147.61500,+,151.4,151.4,KB0VBN,"Blue Springs",Jackson,Missouri,FM ,
147.000000,147.60000,+,100.0,,WB0IYC,"Joplin",Jasper,Missouri,FM ,
147.000000,146.40000,-,127.3,127.3,K0ETY,"Jefferson City",Cole,Missouri,FM ,
147.000000,146.40000,-,100.0,100.0,N0GK,"Dexter",Stoddard,Missouri,FM ,
146.985000,146.38500,-,110.9,110.9,K0NXA,"Willow Springs - MSHP Troop G HQ",Howell,Missouri,FM AllStar EchoLink ,
146.985000,146.38500,-,100.0,100.0,KB0UFL,"Kennett - Kennett Fire Dept Admin Offices",Dunklin,Missouri,FM EchoLink Fusion ,
146.970000,146.37000,-,110.9,110.9,K0GGM,"Salem",Dent,Missouri,FM Fusion ,
146.970000,146.37000,-,151.4,151.4,W0WJB,"Kansas City - Plaza",Jackson,Missouri,FM ,
146.970000,146.37000,-,162.2,162.2,W0OAR,"Freistatt - MSHP Tower",Lawrence,Missouri,FM ,
146.955000,146.35500,-,156.7,156.7,KB0RPJ,"Trenton - Courthouse",Grundy,Missouri,FM AllStar EchoLink ,
146.955000,146.35500,-,192.8,,KA0RFO,"Laurie",Morgan,Missouri,FM ,
146.955000,146.35500,-,100.0,100.0,KA0CUU,"Arcadia",Iron,Missouri,FM ,
146.940000,146.34000,-,110.9,110.9,W0HCA,"West Plains",Howell,Missouri,FM ,
146.940000,146.34000,-,,,K0HAM,"Kansas City - Signal Hill",Jackson,Missouri,Fusion WIRES-X ,
146.940000,146.34000,-,,,W0SRC,"Clayton",St Louis,Missouri,Fusion ,
146.925000,146.32500,-,107.2,,WB0EM,"Warsaw",Benton,Missouri,FM EchoLink ,
146.925000,146.32500,-,,,KC0KW,"Smithville - Fire Dept",Clay,Missouri,Fusion WIRES-X ,
146.925000,146.32500,-,,,KB0UFL,"New Madrid",New Madrid,Missouri,FM ,
146.925000,146.32500,-,192.8,192.8,K0AMC,"Arnold",Jefferson,Missouri,FM AllStar EchoLink ,
146.910000,146.31000,-,162.2,162.2,W0EBE,"Springfield - Hammons Tower",Greene,Missouri,FM EchoLink Fusion ,
146.910000,146.31000,-,100.0,100.0,KM0HP,"Poplar Bluff - MSHP Sta, North 67",Butler,Missouri,FM ,
146.910000,146.31000,-,141.3,,W0SRC,"Des Peres - West County Mall",St Louis,Missouri,FM ,
146.895000,146.29500,-,114.8,114.8,KC0QLU,"Plattsburg",Clinton,Missouri,FM Fusion WIRES-X ,
146.895000,146.29500,-,162.2,162.2,W0YKE,"Hollister - KSMU Tower",Taney,Missouri,FM AllStar EchoLink ,
146.895000,146.29500,-,CSQ,,N0GYE,"Brinktown",Maries,Missouri,FM ,
146.880000,146.28000,-,107.2,107.2,W0AU,"Holden",Johnson,Missouri,FM EchoLink Fusion ,
146.880000,146.28000,-,103.5,,W0KEM,"Hannibal",Marion,Missouri,FM ,
146.880000,146.28000,-,91.5,91.5,W0LF,"Carthage",Jasper,Missouri,FM ,
146.865000,146.26500,-,100.0,100.0,N0IBV,"Van Buren",Carter,Missouri,FM EchoLink ,
146.865000,146.26500,-,,,KF5E,"Peculiar",Cass,Missouri,Fusion WIRES-X ,
146.865000,146.26500,-,156.7,156.7,N0WKC,"Marshfield - Water Tower",Webster,Missouri,FM ,
146.865000,146.26500,-,127.3,127.3,KB4VSP,"Jefferson City - SEMA Tower",Cole,Missouri,FM DMR DSTAR NXDN P-25 Fusion ,34F9
146.850000,146.25000,-,100.0,100.0,W0NH,"Saint Joseph - KQ2 Tower",Buchanan,Missouri,FM Fusion WIRES-X ,
146.850000,146.25000,-,114.8,,N0OMR,"Prescott",Texas,Missouri,FM AllStar EchoLink ,
146.850000,146.25000,-,141.3,141.3,W0SRC,"Olivette - Lindbergh/Olive",St Louis,Missouri,FM AllStar EchoLink ,
146.850000,146.25000,-,91.5,91.5,W0HL,"Nevada",Vernon,Missouri,FM ,
146.835000,146.23500,-,100.0,,AB0TL,"Potosi - Floyd 911 Tower",Washington,Missouri,FM ,
